Header Reference (BOM Reference),Stock Code,Description,Notes,Sequence Number,Quantity,Instruction,Unit of MEachsure,Scrap Percentage,Fixed Quantity,Use Only in BOM Module
SA-FG-0005,PP-FIX-M6-0012,M6x20 Hex Socket Cap Head Bolt - A2,,40,4,,Each,0,FALSE,FALSE
SA-FG-0006,FG-0044-MP,Single Gate Nut Housing - 50 OD x 94mm,,10,1,,Each,0,FALSE,FALSE
SA-FG-0006,FG-0045-MP,Single Gate Nut Core - 42 OD x 50mm,,20,1,,Each,0,FALSE,FALSE
SA-FG-0006,PP-FIX-M6-0019,M6x6 Grub Screw - A2,,30,2,,Each,0,FALSE,FALSE
SA-FG-0007,FG-0046-FP,Single Gate Pivot Bracket Fixing Plate - 10mm,,10,1,,Each,0,FALSE,FALSE
SA-FG-0007,FG-0048-FP,Single Gate Pivot Bracket Eye Tab - 10mm,,20,2,,Each,0,FALSE,FALSE
SA-FG-0007,SA-FG-0005,100mm Single Gate Pivot Block (Locking Mechanism),,30,1,,Each,0,FALSE,FALSE
SA-FG-0008,SA-FG-0006,100mm Single Gate Nut (Locking Mechanism),,10,1,,Each,0,FALSE,FALSE
SA-FG-0008,SA-FG-0007,100mm Single Gate Pivot Bracket (Locking Mechanism),,20,1,,Each,0,FALSE,FALSE
SA-FG-0008,FG-0130-MP,Single Gate Spindle - 25 OD x 250mm Shaft,,30,1,,Each,0,FALSE,FALSE
SA-FG-0009,FG-0048-FP,Single Gate Pivot Bracket Eye Tab - 10mm,,10,2,,Each,0,FALSE,FALSE
SA-FG-0009,SA-FG-0005,100mm Single Gate Pivot Block (Locking Mechanism),,20,1,,Each,0,FALSE,FALSE
SA-FG-0009,FG-0129-FP,Single Gate Face Fixed Pivot Bracket Fixing Plate - 10mm,,30,1,,Each,0,FALSE,FALSE
SA-FG-0010,FG-0135-FP,Face Fixed Receiver Plate - 10mm,,10,1,,Each,0,FALSE,FALSE
SA-FG-0010,FG-0136-FP,Single Gate Cradle Plate (SS316) - 15mm,,20,2,,Each,0,FALSE,FALSE
SA-FG-0010,FG-0053-FP,Single Gate Cover Locking Tab - 5mm,,30,1,,Each,0,FALSE,FALSE
SA-FG-0011,RAW-CHS-0006,CHS - 30 OD x 2mm Wall - 316,,10,0.12,,Metres,0,FALSE,FALSE
SA-FG-0011,FG-0139-FP,Single Gate Face Fixed Mechanism Cover Plate - 5mm,,20,1,,Each,0,FALSE,FALSE
SA-FG-0011,FG-0140-FP,Single Gate Face Fixed Mechanism Cover Cap - 2mm,,30,1,,Each,0,FALSE,FALSE
SA-FG-0012,SA-FG-0013,70mm Pedestrian Flood Gate Hinge to Jamb,,10,1,,Each,0,FALSE,FALSE
